log,no_distinct_traces,no_total_traces,avg_trace_length,avg_event_repetition_intra_trace,no_distinct_events,no_events_total,no_distinct_start,no_distinct_end,density,length_one_loops,total_no_activities,percentage_concurrency,percentage_sequence,dfg_mean_variable_degree,dfg_variation_coefficient_variable_degree,dfg_min_variable_degree,dfg_max_variable_degree,dfg_entropy_variable_degree,dfg_wcc_min,dfg_wcc_max
977541615,5.0,1316.0,0.007598784194528876,0.0,6.0,2632.0,2.0,4.0,0.2777777777777778,0.0,6,0.0,0.1388888888888889,2.75,0.39626354032187944,2,5,2.0083299225285955,0.0,0.0
3298865970,18.0,1051.0,0.14081826831588962,0.0009514747859181732,23.0,8412.0,4.0,2.0,0.1342155009451796,0.043478260869565216,23,0.005671077504725898,0.06427221172022685,3.44,0.6266136551305804,2,8,3.046395737707449,0.009123245175338876,0.009123245175338876
179279298,19.0,1350.0,0.10148148148148148,1.9259259259259258,14.0,8007.0,2.0,2.0,0.1836734693877551,0.14285714285714285,14,0.04081632653061224,0.08163265306122448,3.5,0.9313146293146641,2,14,2.4726780630435714,0.0006236250941923174,0.0006236250941923174
609239426,133.0,1363.0,1.491562729273661,0.0022010271460014674,45.0,20399.0,2.0,2.0,0.08345679012345679,0.022222222222222223,45,0.012345679012345678,0.036049382716049384,4.340425531914893,0.7053715472060403,2,13,3.6288869094915097,0.016201985440510398,0.016201985440510398
2142244142,19.0,1447.0,0.09329647546648238,1.3994471319972357,18.0,8567.0,1.0,3.0,0.13271604938271606,0.05555555555555555,18,0.027777777777777776,0.06481481481481481,3.4,0.7578881603955956,1,10,2.7594615321917186,0.0,0.0
1389940244,11.0,1307.0,0.05279265493496557,0.0007651109410864575,14.0,7845.0,1.0,2.0,0.22959183673469388,0.07142857142857142,14,0.015306122448979591,0.10714285714285714,3.375,0.6859355250908199,1,10,2.574283494692025,0.013656986984906583,0.013656986984906583
301739240,29.0,1222.0,0.2332242225859247,1.1219312602291325,27.0,10815.0,3.0,2.0,0.12345679012345678,0.0,27,0.00823045267489712,0.05761316872427984,3.6551724137931036,0.5715143860702248,2,10,3.2233342013375434,0.021636356122747627,0.021636356122747627
2548369743,13.0,1464.0,0.06352459016393443,0.001366120218579235,18.0,10251.0,2.0,3.0,0.1574074074074074,0.05555555555555555,18,0.0030864197530864196,0.07716049382716049,3.1,0.5761474548223146,2,8,2.8554484896405175,0.00022001500762598405,0.00022001500762598405
429779153,9.0,1487.0,0.02824478816408877,0.9455279085406859,7.0,5871.0,1.0,3.0,0.3469387755102041,0.14285714285714285,7,0.02040816326530612,0.16326530612244897,2.888888888888889,0.5273580461846957,1,6,2.068304324405057,0.0011803345678528215,0.0011803345678528215
4000195002,56.0,1455.0,0.5869415807560138,2.7065292096219933,40.0,18497.0,4.0,2.0,0.07125,0.05,40,0.00875,0.03375,3.5238095238095237,0.7863425149176301,2,10,3.4890576655262713,0.00019588855142021468,0.00019588855142021468
2099219440,15.0,1188.0,0.07996632996632996,0.003367003367003367,16.0,7134.0,4.0,4.0,0.16796875,0.0625,16,0.01171875,0.078125,3.4444444444444446,0.6926100178575447,2,11,2.7008215600613763,0.012241428293760785,0.012241428293760785
755844866,11.0,1351.0,0.056254626202812734,0.9193190229459659,11.0,8001.0,1.0,2.0,0.256198347107438,0.09090909090909091,11,0.008264462809917356,0.12396694214876033,2.923076923076923,0.6359497880839249,1,8,2.3976887067594603,0.0015513032780106984,0.0015513032780106984
1165844913,11.0,1396.0,0.02650429799426934,0.0014326647564469914,11.0,4192.0,2.0,3.0,0.2644628099173554,0.18181818181818182,11,0.01652892561983471,0.12396694214876033,3.3846153846153846,0.7100226978096958,2,9,2.357138511216358,0.00035413501527472647,0.00035413501527472647
2084729734,7.0,1263.0,0.02454473475851148,0.000791765637371338,9.0,5055.0,2.0,2.0,0.2839506172839506,0.1111111111111111,9,0.012345679012345678,0.13580246913580246,2.909090909090909,0.5945717997012641,2,7,2.254544664871008,0.0005446316156020052,0.0005446316156020052
3937905825,25.0,1206.0,0.16832504145936983,0.0008291873963515755,29.0,9651.0,4.0,3.0,0.10107015457788347,0.034482758620689655,29,0.0011890606420927466,0.04994054696789536,3.225806451612903,0.5770615218501404,2,10,3.2984525460712097,0.00024840124492015467,0.00024840124492015467
3460454443,25.0,1260.0,0.22698412698412698,1.3261904761904761,27.0,13625.0,3.0,2.0,0.09465020576131687,0.1111111111111111,27,0.015089163237311385,0.04526748971193416,3.3793103448275863,0.8202710820596487,2,14,3.1283103905020133,0.0003596521769068759,0.0003596521769068759
87168713,9.0,1409.0,0.0234208658623137,0.0014194464158978,10.0,4711.0,1.0,1.0,0.32,0.2,10,0.02,0.15,3.1666666666666665,0.7498845709881583,1,9,2.2457509528977986,0.0025510179416789107,0.0025510179416789107
2069946935,9.0,1172.0,0.033276450511945395,0.0017064846416382253,10.0,4691.0,2.0,2.0,0.28,0.2,10,0.02,0.13,3.1666666666666665,0.6023959548557682,2,7,2.3303197543603766,0.0004500544810402939,0.0004500544810402939
419802638,93.0,1074.0,2.702048417132216,5.1582867783985105,27.0,15441.0,1.0,2.0,0.11659807956104253,0.037037037037037035,27,0.0013717421124828531,0.05761316872427984,3.1724137931034484,0.7812488185246266,1,12,3.140014059804822,0.00022317200451840035,0.00022317200451840035
3258291523,11.0,1395.0,0.055197132616487454,1.3118279569892473,9.0,6697.0,1.0,1.0,0.20987654320987653,0.1111111111111111,9,0.08641975308641975,0.09876543209876543,3.090909090909091,0.6389870877176598,1,7,2.205896798998366,0.00044402579427036434,0.00044402579427036434
4173856208,3.0,1212.0,0.004125412541254125,0.0,3.0,1214.0,1.0,3.0,0.4444444444444444,0.0,3,0.0,0.2222222222222222,2.4,0.4249182927993988,1,4,1.5171063970610275,0.0,0.0
3898379610,18.0,1469.0,0.10006807351940095,0.0020422055820285907,19.0,11755.0,1.0,2.0,0.19113573407202217,0.05263157894736842,19,0.024930747922437674,0.08310249307479224,4.0,0.7830039834478737,1,11,2.7791019250440447,0.02171020067087747,0.02171020067087747
516277885,9.0,1392.0,0.014367816091954023,0.0021551724137931034,9.0,2788.0,3.0,5.0,0.2345679012345679,0.1111111111111111,9,0.012345679012345678,0.1111111111111111,3.272727272727273,0.5983516452371671,2,7,2.242134798378653,0.00041983169088149737,0.00041983169088149737
275220555,36.0,1128.0,0.3776595744680851,0.0017730496453900709,28.0,12983.0,5.0,1.0,0.11224489795918367,0.07142857142857142,28,0.012755102040816327,0.04974489795918367,3.6666666666666665,0.6111904114171496,1,10,3.2346670802890736,0.011515087278457707,0.011515087278457707
253661025,15.0,1097.0,0.12488605287146765,0.0,23.0,9875.0,2.0,1.0,0.1323251417769376,0.0,23,0.0,0.0661625708884688,3.04,0.5383492775125995,1,7,3.08986205615063,0.00035739608251306995,0.00035739608251306995
355702046,8.0,1445.0,0.007612456747404845,0.0006920415224913495,7.0,1448.0,5.0,7.0,0.10204081632653061,0.14285714285714285,7,0.02040816326530612,0.04081632653061224,3.3333333333333335,0.58309518948453,2,7,2.0433012620739763,0.0,0.0
3847320465,14.0,1262.0,0.06259904912836767,0.0,22.0,6744.0,2.0,3.0,0.1322314049586777,0.0,22,0.004132231404958678,0.0640495867768595,3.1666666666666665,0.5210260492953508,2,7,3.0580622199230474,0.011692931112434664,0.011692931112434664
2246612985,37.0,1078.0,0.5769944341372912,1.2782931354359925,19.0,7263.0,3.0,1.0,0.13850415512465375,0.10526315789473684,19,0.01662049861495845,0.06371191135734072,3.142857142857143,0.5034317492677622,1,7,2.930099618678555,0.028794655766977244,0.028794655766977244
312765659,14.0,1333.0,0.07051762940735183,0.9227306826706677,14.0,7899.0,4.0,2.0,0.18877551020408162,0.07142857142857142,14,0.00510204081632653,0.09183673469387756,3.125,0.5973273809227231,2,9,2.6296522916975595,0.00128893761870945,0.00128893761870945
1038461740,8.0,1100.0,0.017272727272727273,0.0027272727272727275,8.0,2205.0,4.0,3.0,0.265625,0.125,8,0.015625,0.125,3.2,0.5555121510822243,2,7,2.167901267301015,0.0005714981259303521,0.0005714981259303521
2390262103,168.0,1208.0,1.9495033112582782,0.0,39.0,16915.0,2.0,2.0,0.1393819855358317,0.0,39,0.03418803418803419,0.05259697567389875,6.634146341463414,1.0238294016087914,2,22,3.2493140219656005,0.039138222927570444,0.039138222927570444
4247344080,3.0,1044.0,0.004789272030651341,0.0009578544061302681,2.0,1046.0,1.0,2.0,0.75,0.5,2,0.25,0.25,2.5,0.6,1,5,1.2206072645530175,0.0,0.0
2377773250,249.0,1432.0,3.945530726256983,0.0013966480446927375,62.0,32453.0,1.0,2.0,0.05463059313215401,0.03225806451612903,62,0.003121748178980229,0.026014568158168574,3.59375,0.6810977462057692,1,12,3.965533595262048,0.006187646888777429,0.006187646888777429
1041801052,3.0,1162.0,0.004302925989672977,0.0017211703958691911,2.0,1165.0,1.0,2.0,0.75,0.5,2,0.25,0.25,2.5,0.6,1,5,1.2206072645530175,0.0,0.0
1781601270,13.0,1290.0,0.03178294573643411,0.0,15.0,3872.0,5.0,3.0,0.17777777777777778,0.0,15,0.0,0.08888888888888889,3.2941176470588234,0.5486532677049006,2,7,2.698751265190942,0.001176285897247477,0.001176285897247477
6200465,17.0,1458.0,0.0775034293552812,1.2969821673525377,15.0,7000.0,2.0,4.0,0.10222222222222223,0.06666666666666667,15,0.057777777777777775,0.044444444444444446,3.411764705882353,0.9380324488783064,2,13,2.5346917492066092,0.0003081824858126731,0.0003081824858126731
